Date;Text;Amount;Saldo;Currency
07/10/2019;Visa/Dankort IZ *ANDERSEN, KOBENHAVN N,;-38;509430,18;DKK
07/10/2019;Krystal Sandwich;-69;509468,18;DKK
04/10/2019;Visa/Dankort OISTER.DK, KOBENHAVN,;-89;509537,18;DKK
01/10/2019;AKADEMIKERNES A-KASSE;-1320;509626,18;DKK
30/09/2019;Account 64970001000373;-10000;510946,18;DKK
27/09/2019;Dankort Coffee Industri Sw;-70;520946,18;DKK
27/09/2019;Dankort Coffee Industri Sw;-25;521016,18;DKK
26/09/2019;Dankort Cafeteriet Herlev;-53;521041,18;DKK
26/09/2019;cykelgear.dk Nota 1367882;-407;521094,18;DKK
25/09/2019;Dankort 7-Eleven B 087;-39;521501,18;DKK
23/09/2019;Dankort SØREN K;-120;521540,18;DKK
23/09/2019;Dankort Panum Hovedkantine;-32,71;521660,18;DKK
20/09/2019;Dankort Panum Hovedkantine;-35,26;521692,89;DKK
20/09/2019;Dankort Democratic Coffee;-66;521728,15;DKK
19/09/2019;Dankort Panum Hovedkantine;-35,11;521794,15;DKK
17/09/2019;Dankort Panum Hovedkantine;-27,05;521829,26;DKK
16/09/2019;Dankort Kaf;-153;521856,31;DKK
16/09/2019;Dankort PHOTOGRAFICA;-55;522009,31;DKK
16/09/2019;Dankort Panum Hovedkantine;-37,67;522064,31;DKK
16/09/2019;Københavns Universit;10009,89;522101,98;DKK
13/09/2019;Dankort Panum Hovedkantine;-25;512092,09;DKK
13/09/2019;Dankort Coffee Industri Sw;-95;512117,09;DKK
11/09/2019;Dankort Panum Hovedkantine;-36,58;512212,09;DKK
11/09/2019;Dankort Democratic Coffee;-88;512248,67;DKK
09/09/2019;Dankort Rema 1000;-23,85;512336,67;DKK
09/09/2019;Dankort Normal A/S;-55;512360,52;DKK
09/09/2019;Dankort Rema 1000;-28,95;512415,52;DKK
05/09/2019;Dankort Panum Hovedkantine;-35,19;512444,47;DKK
04/09/2019;Dankort Smag ApS;-64;512479,66;DKK
04/09/2019;Visa/Dankort OISTER.DK, KOBENHAVN,;-89;512543,66;DKK
04/09/2019;Dankort Democratic Coffee;-110;512632,66;DKK
03/09/2019;Dankort Panum Hovedkantine;-25;512742,66;DKK
03/09/2019;Visa/Dankort IZ *ANDERSEN, KOBENHAVN N,;-126;512767,66;DKK
02/09/2019;Dankort Aldi 002;-137,45;512893,66;DKK
02/09/2019;Dankort Panum Hovedkantine;-28,6;513031,11;DKK
30/08/2019;Dankort Panum Hovedkantine;-36,35;513059,71;DKK
30/08/2019;Account 64970001000373;-10000;513096,06;DKK
30/08/2019;Københavns Universit;22471,27;523096,06;DKK
30/08/2019;Nørrebro Apotek v/;-1646,95;500624,79;DKK
29/08/2019;Dankort Panum Hovedkantine;-34,49;502271,74;DKK
29/08/2019;Dankort Panum Hovedkantine;-25,03;502306,23;DKK
28/08/2019;Rema 1000;-214,5;502331,26;DKK
27/08/2019;Dankort Yogaudstyr.dk;-227;502545,76;DKK
27/08/2019;Dankort Flying Tiger Cph37;-30;502772,76;DKK
27/08/2019;Dankort Panum Hovedkantine;-38,44;502802,76;DKK
27/08/2019;HSO*WWW.BERGFREUNDE.DK, 72138. DE EUR 74,95;-564,63;502841,2;DKK
26/08/2019;Dankort Democratic Coffee;-33;503405,83;DKK
26/08/2019;Dankort Panum Hovedkantine;-33,17;503438,83;DKK
23/08/2019;Dankort Panum Hovedkantine;-33,64;503472;DKK
23/08/2019;Dankort Panum Hovedkantine;-33,25;503505,64;DKK
21/08/2019;Dankort Panum Hovedkantine;-31;503538,89;DKK
21/08/2019;Visa/Dankort IZ *ANDERSEN, KOBENHAVN N,;-101;503569,89;DKK
20/08/2019;Dankort Panum Hovedkantine;-39,99;503670,89;DKK
20/08/2019;Visa/Dankort KAFFEPLANTAGEN, KOBENHAVN N,;-95;503710,88;DKK
20/08/2019;Pengeautomat;-500;503805,88;DKK
19/08/2019;Dankort Flying Tiger Cph78;-30;504305,88;DKK
19/08/2019;Dankort beAwear;-450;504335,88;DKK
19/08/2019;Dankort Aldi 002;-108,6;504785,88;DKK
19/08/2019;Dankort Panum Hovedkantine;-34,57;504894,48;DKK
19/08/2019;Dankort Panum Hovedkantine;-30,23;504929,05;DKK
15/08/2019;Dankort Panum Hovedkantine;-26,27;504959,28;DKK
15/08/2019;Visa/Dankort SEK 86,00 Kurs 70,755 Nota nr. 00728 NORMAL EMPORIA, MALMO;-60,85;504985,55;DKK
12/08/2019;MobilePay: Sandra Urioste;-20;505046,4;DKK
07/08/2019;MobilePay køb Bornholm på Hjul;-140;505066,4;DKK
06/08/2019;Visa/Dankort OISTER.DK, KOBENHAVN,;-89;505206,4;DKK
05/08/2019;Dankort Panum Hovedkantine;-34,49;505295,4;DKK
02/08/2019;Dankort Panum Hovedkantine;-42,08;505329,89;DKK
02/08/2019;Visa/Dankort KAFFEPLANTAGEN, KOBENHAVN N,;-74;505371,97;DKK
01/08/2019;Dankort Flying Tiger Cph78;-30;505445,97;DKK
01/08/2019;Dankort Panum Hovedkantine;-44,02;505475,97;DKK
01/08/2019;Dankort Panum Hovedkantine;-30,85;505519,99;DKK
31/07/2019;Account 64970001000373;-10000;505550,84;DKK
31/07/2019;Københavns Universit;22471,27;515550,84;DKK
30/07/2019;Dankort Panum Hovedkantine;-40,46;493079,57;DKK
29/07/2019;Dankort Panum Hovedkantine;-36,12;493120,03;DKK
26/07/2019;Dankort Panum Hovedkantine;-40,07;493156,15;DKK
25/07/2019;Dankort Panum Hovedkantine;-40,61;493196,22;DKK
24/07/2019;Dankort Panum Hovedkantine;-37,51;493236,83;DKK
23/07/2019;Dankort Panum Hovedkantine;-39,06;493274,34;DKK
22/07/2019;Rejsekort - DSB Nota CF019826344;-300;493313,4;DKK
19/07/2019;Dankort Apoteket Frederiks;-64,25;493613,4;DKK
19/07/2019;Dankort Panum Hovedkantine;-38,52;493677,65;DKK
19/07/2019;Pengeautomat;-300;493716,17;DKK
18/07/2019;Dankort Panum Hovedkantine;-38,6;494016,17;DKK
17/07/2019;Dankort Panum Hovedkantine;-36,12;494054,77;DKK
16/07/2019;Dankort Panum Hovedkantine;-44,56;494090,89;DKK
15/07/2019;Dankort Normal A/S;-41;494135,45;DKK
15/07/2019;Cafe Satchmo;-182;494176,45;DKK
15/07/2019;MobilePay: Patryk Fraczyk;-36;494358,45;DKK
15/07/2019;Dankort Panum Hovedkantine;-40,77;494394,45;DKK
15/07/2019;MobilePay: Patryk Fr;75;494435,22;DKK
12/07/2019;Dankort Panum Hovedkantine;-40,69;494360,22;DKK
12/07/2019;Dankort Democratic Coffee;-33;494400,91;DKK
11/07/2019;Dankort Panum Hovedkantine;-38,75;494433,91;DKK
10/07/2019;Dankort Panum Hovedkantine;-33,33;494472,66;DKK
10/07/2019;Dankort Democratic Coffee;-88;494505,99;DKK
09/07/2019;Dankort Panum Hovedkantine;-40,84;494593,99;DKK
09/07/2019;Visa/Dankort KAFFEPLANTAGEN, KOBENHAVN N,;-85;494634,83;DKK
08/07/2019;Dankort Normal A/S;-43;494719,83;DKK
08/07/2019;Dankort Panum Hovedkantine;-34,72;494762,83;DKK
05/07/2019;Dankort Panum Hovedkantine;-38,36;494797,55;DKK
05/07/2019;DSB19-7802659005;175,2;494835,91;DKK
04/07/2019;Dankort Panum Hovedkantine;-35,73;494660,71;DKK
04/07/2019;Dankort Panum Hovedkantine;-34,95;494696,44;DKK
04/07/2019;Visa/Dankort OISTER.DK, KOBENHAVN,;-89;494731,39;DKK
02/07/2019;Dankort Panum Hovedkantine;-34,72;494820,39;DKK
02/07/2019;Visa/Dankort FS DE SCANDLINES DE GMBH , HAMBURG,;-12;494855,11;DKK
01/07/2019;Dankort Flying Tiger Cph37;-30;494867,11;DKK
01/07/2019;AKADEMIKERNES A-KASSE;-1320;494897,11;DKK
28/06/2019;Dankort Panum Hovedkantine;-39,06;496217,11;DKK
28/06/2019;Account 64970001000373;-10000;496256,17;DKK
28/06/2019;Københavns Universit;22471,27;506256,17;DKK
28/06/2019;DSB 646 Kn RKA;-200;483784,9;DKK
27/06/2019;Dankort Mokkariet Odensega;-90;483984,9;DKK
27/06/2019;Dankort Panum Hovedkantine;-30,77;484074,9;DKK
26/06/2019;Dankort Nørrebro Apotek v/;-109;484105,67;DKK
26/06/2019;Dankort Panum Hovedkantine;-31,47;484214,67;DKK
25/06/2019;Dankort Panum Hovedkantine;-33,56;484246,14;DKK
25/06/2019;Visa/Dankort LEVI STRAUSS DENMARK,, Kobenhavn,;-734;484279,7;DKK
25/06/2019;Visa/Dankort IZ *THE LITTLE CAF, TISVILDELEJE,;-190;485013,7;DKK
24/06/2019;MobilePay: Mette Ludwig;-20;485203,7;DKK
24/06/2019;Visa/Dankort IZ *ANDERSEN, KOBENHAVN N,;-76;485223,7;DKK
24/06/2019;DSB 653 Nht RKA;-300;485299,7;DKK
24/06/2019;MobilePay: Maria Camila Alvarez Silva;-150;485599,7;DKK
24/06/2019;MobilePay: Maria Cam;300;485749,7;DKK
21/06/2019;Dankort Yogaudstyr.dk;-767;485449,7;DKK
21/06/2019;Rejsekort - DSB Nota C90b8f463131;-50;486216,7;DKK
21/06/2019;Dankort Panum Hovedkantine;-40,77;486266,7;DKK
20/06/2019;Dankort Empire Bio A/S;-42;486307,47;DKK
20/06/2019;Dankort Panum Hovedkantine;-32,63;486349,47;DKK
20/06/2019;Visa/Dankort 00000000;-76;486382,1;DKK
19/06/2019;Dankort Nørrebro Apotek v/;-115,45;486458,1;DKK
19/06/2019;Dankort Panum Hovedkantine;-34,88;486573,55;DKK
18/06/2019;Dankort Panum Hovedkantine;-38,29;486608,43;DKK
17/06/2019;Visa/Dankort KAFFEPLANTAGEN, KOBENHAVN N,;-77;486646,72;DKK
17/06/2019;Dankort Panum Hovedkantine;-38,52;486723,72;DKK
14/06/2019;Dankort DET FRANSKE CONDIT;-151;486762,24;DKK
14/06/2019;Dankort Rema 1000;-126,95;486913,24;DKK
14/06/2019;Dankort Panum Hovedkantine;-40,38;487040,19;DKK
14/06/2019;Visa/Dankort IZ *GAO DUMPLING B, COPENHAGEN N,;-385;487080,57;DKK
13/06/2019;Dankort Panum Hovedkantine;-43,09;487465,57;DKK
12/06/2019;Visa/Dankort IZ *MASTER THAI CU, LISELEJE,;-383;487508,66;DKK
12/06/2019;Visa/Dankort IZ *MASTER THAI CU, LISELEJE,;-338;487891,66;DKK
12/06/2019;Visa/Dankort IZ *THE OLD COFFEE, HUNDESTED,;-84;488229,66;DKK
12/06/2019;Visa/Dankort HANSENS ISBAR OG CAFE, LISELEJE,;-82;488313,66;DKK
11/06/2019;Dankort Liselængen-Liselej;-166;488395,66;DKK
11/06/2019;Dankort Netto H.C Ørstedsv;-25,95;488561,66;DKK
11/06/2019;Pengeautomat;-300;488587,61;DKK
07/06/2019;Dankort SILVAN 637 Fisketo;-227,84;488887,61;DKK
07/06/2019;Dankort Panum Hovedkantine;-29,22;489115,45;DKK
07/06/2019;Visa/Dankort IZ *ANDERSEN, KOBENHAVN N,;-76;489144,67;DKK
06/06/2019;Visa/Dankort EASYPARK, 2467890538,;-370;489220,67;DKK
06/06/2019;Visa/Dankort OISTER.DK, KOBENHAVN,;-89;489590,67;DKK
06/06/2019;Dankort Panum Hovedkantine;-34,95;489679,67;DKK
04/06/2019;Dankort Panum Hovedkantine;-33,48;489714,62;DKK
04/06/2019;Visa/Dankort JOE,;-44;489748,1;DKK
04/06/2019;Pengeautomat;-400;489792,1;DKK
03/06/2019;Dankort Nørrebro Apotek v/;-109;490192,1;DKK
03/06/2019;Dankort Panum Hovedkantine;-34,95;490301,1;DKK
29/05/2019;Dankort Panum Hovedkantine;-43,94;490336,05;DKK
29/05/2019;Dankort Panum Hovedkantine;-43,63;490379,99;DKK
29/05/2019;Visa/Dankort GAGRN APS, KBENHAVN,;-65;490423,62;DKK
29/05/2019;Account 64970001000373;-10000;490488,62;DKK
29/05/2019;Københavns Universit;22471,27;500488,62;DKK
28/05/2019;Visa/Dankort LOOKFANTASTIC.COM, 01618131710,;-111;478017,35;DKK
28/05/2019;Visa/Dankort GAGRN APS, KBENHAVN,;-89;478128,35;DKK
27/05/2019;vinterbadbryggen.d Nota 2445852122;250;478217,35;DKK
27/05/2019;Dankort Panum Hovedkantine;-37,43;477967,35;DKK
27/05/2019;Dankort Panum Hovedkantine;-34,95;478004,78;DKK
27/05/2019;Pengeautomat;-800;478039,73;DKK
27/05/2019;Dankort Democratic Coffee;-66;478839,73;DKK
23/05/2019;Dankort Panum Hovedkantine;-40,38;478905,73;DKK
23/05/2019;Visa/Dankort IZ *ANDERSEN, KOBENHAVN N,;-76;478946,11;DKK
22/05/2019;Dankort Panum Hovedkantine;-41,08;479022,11;DKK
22/05/2019;Dankort Panum Hovedkantine;-34,49;479063,19;DKK
21/05/2019;Dankort Coffee Factory Swe;-70;479097,68;DKK
20/05/2019;vinterbadbryggen.d;-250;479167,68;DKK
20/05/2019;Dankort Panum Hovedkantine;-40,61;479417,68;DKK
16/05/2019;Dankort Panum Hovedkantine;-40,3;479458,29;DKK
15/05/2019;Dankort Panum Hovedkantine;-36,35;479498,59;DKK
14/05/2019;Dankort Panum Hovedkantine;-25;479534,94;DKK
13/05/2019;Dankort Tandlægerne Rømers;-1363,32;479559,94;DKK
13/05/2019;liselangen.dk Nota 10794821;-1690;480923,26;DKK
13/05/2019;Liselængen-Liselej;-96;482613,26;DKK
13/05/2019;Dankort Panum Hovedkantine;-42,55;482709,26;DKK
10/05/2019;Dankort Panum Hovedkantine;-40,92;482751,81;DKK
09/05/2019;Dankort Panum Hovedkantine;-39,91;482792,73;DKK
08/05/2019;MobilePay: Carmen Leyre Saenz Ausejo;-44,6;482832,64;DKK
08/05/2019;Dankort Panum Hovedkantine;-35,96;482877,24;DKK
08/05/2019;Visa/Dankort Flixbus, Berlin,;-498;482913,2;DKK
07/05/2019;Dankort The Coffee Collect;-30;483411,2;DKK
