Date;Text;Amount;Saldo;Currency
03/12/2015;Overført 63017425821;8000;8000;DKK
04/12/2015;OVERFØRSEL;8000;16000;DKK
07/12/2015;DK-NOTA1148  MADKLUBBEN.SHOP.DK;-1001,39;14998,61;DKK
28/12/2015;DK-NOTA12428 E BILLET A/S;-196,39;14802,22;DKK
04/01/2016;DK-NOTA55410 REMA 1000;-126,7;14675,52;DKK
04/01/2016;Overført Iben;8000;22675,52;DKK
04/01/2016;Bankoverf. Boligafgift;-4143;18532,52;DKK
06/01/2016;DK-NOTA10910 REMA 1000;-137,05;18395,47;DKK
08/01/2016;DK-NOTA68955 REMA 1000;-88,9;18306,57;DKK
08/01/2016;DK-NOTA72847 REMA 1000;-94,3;18212,27;DKK
11/01/2016;DK-NOTA15111 DET FRANSKE CONDIT;-65;18147,27;DKK
11/01/2016;DK-NOTA69058 REMA 1000;-73,15;18074,12;DKK
11/01/2016;DK-NOTAC9038 ALABAMA SOCIAL;-530;17544,12;DKK
11/01/2016;DK-NOTA55941 REMA 1000;-60,3;17483,82;DKK
11/01/2016;DK-NOTA33915 REMA 1000;-35;17448,82;DKK
12/01/2016;DK-NOTA 5069 BLÅGÅRD DYREKLINIK;-942,25;16506,57;DKK
13/01/2016;DK-NOTA56116 REMA 1000;-61,41;16445,16;DKK
13/01/2016;DK-NOTA37181 ALDI 002;-139,51;16305,65;DKK
14/01/2016;DK-NOTA56138 REMA 1000;-79;16226,65;DKK
14/01/2016;DK-NOTA73095 MADBILLET.DK;-451,74;15774,91;DKK
15/01/2016;DK-NOTA 4450 POPPI DYRECENTER;-119;15655,91;DKK
15/01/2016;DK-NOTA12136 REMA 1000;-77,2;15578,71;DKK
18/01/2016;DK-NOTA56436 REMA 1000;-83,6;15495,11;DKK
19/01/2016;DK-NOTA56484 REMA 1000;-77,8;15417,31;DKK
20/01/2016;DK-NOTA35203 REMA 1000;-169,2;15248,11;DKK
22/01/2016;DK-NOTA35483 REMA 1000;-80,2;15167,91;DKK
25/01/2016;DK-NOTA 4518 POPPI DYRECENTER;-229;14938,91;DKK
25/01/2016;DK-NOTA74280 REMA 1000;-107,9;14831,01;DKK
25/01/2016;DK-NOTA 4397 DET FRANSKE CONDIT;-170;14661,01;DKK
25/01/2016;DK-NOTA56811 REMA 1000;-140,35;14520,66;DKK
25/01/2016;DK-NOTA21537 ALDI 002;-114,7;14405,96;DKK
25/01/2016;DK-NOTA56904 REMA 1000;-50,85;14355,11;DKK
25/01/2016;DK-NOTA3105  WWW.FAROUT.DK;-1890;12465,11;DKK
29/01/2016;Overført ydelse 0200305;-3000;9465,11;DKK
29/01/2016;DK-NOTA74868 REMA 1000;-185,3;9279,81;DKK
01/02/2016;DK-NOTA69974 REMA 1000;-122,81;9157;DKK
01/02/2016;DK-NOTA 4662 DET FRANSKE CONDIT;-30;9127;DKK
01/02/2016;DK-NOTA70002 REMA 1000;-137,77;8989,23;DKK
01/02/2016;BS JP/POLITIKENS HUS A/S;-399;8590,23;DKK
01/02/2016;FÆLLES NÆSTE MÅNED;9000;17590,23;DKK
01/02/2016;Overført Iben;9000;26590,23;DKK
01/02/2016;Bankoverf. Boligafgift;-4243;22347,23;DKK
03/02/2016;DK-NOTA14774 REMA 1000;-101,31;22245,92;DKK
03/02/2016;Overført Iben udstående;-12039;10206,92;DKK
03/02/2016;DK-NOTA75375 REMA 1000;-116,3;10090,62;DKK
04/02/2016;DK-NOTA70200 REMA 1000;-110,35;9980,27;DKK
05/02/2016;DK-NOTA22047 ALDI 002;-117,7;9862,57;DKK
08/02/2016;DK-NOTA37589 REMA 1000;-68,9;9793,67;DKK
